id;field_string;field_integer;field_long;field_big_decimal;field_float;field_double;field_boolean;field_local_date;field_zoned_date_time;field_duration;field_uuid;field_blob;field_blob_content_type;field_any_blob;field_any_blob_content_type;field_image_blob;field_image_blob_content_type;field_text_blob
1;neural;42519;24749;53683;9921;74856;true;2020-09-29;2020-09-29T20:18:08;96556;1eecaa41-0c0c-4165-88aa-bf994f69f4ff;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;Chief Awesome Granite Bacon;98822;99098;73076;12072;86356;true;2020-09-29;2020-09-29T18:11:06;94189;eca2def0-41bd-4d15-90f4-79354f24c661;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;Street Intelligent;69934;52042;61197;62489;71331;false;2020-09-29;2020-09-29T23:05:30;32614;a8f3e42c-bf4e-40a7-819b-6e93da411f74;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;collaborative array;35586;91628;63543;9507;97722;false;2020-09-29;2020-09-29T09:24:24;82981;53ef1b01-9588-464a-a645-b21b44960e64;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;Licensed Soft Car Vermont;36119;86847;41640;20146;99676;true;2020-09-29;2020-09-29T06:42:17;98585;e788035d-7420-4ecb-a5e4-267f66204f4d;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;attitude-oriented Sleek Books;24087;96094;3809;9885;12995;true;2020-09-29;2020-09-29T16:41:06;7995;c94a8008-4411-4cfc-9549-8014bd086790;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;Soap Intelligent;24937;90885;69841;39239;9492;true;2020-09-29;2020-09-29T05:54:18;31430;ad353475-d811-4f33-bf80-e29d9bfdb5b1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;Streamlined bi-directional Sleek Steel Shoes;35517;4407;34551;82183;95316;true;2020-09-29;2020-09-29T18:17:06;51199;d7e8546c-c48a-4a33-ae3d-cd2b5ec58acb;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;vortals payment;56496;35872;37680;36732;47718;true;2020-09-29;2020-09-29T11:26:05;37489;3e0d410f-2b55-4fc2-a1ea-0e95cbff136d;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Generic Steel Chicken Licensed unleash;47887;92005;42237;76616;36891;false;2020-09-29;2020-09-29T18:41:53;54621;eebb9e39-786d-4c41-b838-554572579de2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
