id;start_date;end_date;language
1;2020-09-29T01:40:34;2020-09-29T15:05:49;FRENCH
2;2020-09-29T01:19:19;2020-09-29T03:51:29;ENGLISH
3;2020-09-29T18:00:22;2020-09-29T01:37:08;FRENCH
4;2020-09-29T10:58:10;2020-09-29T12:17:48;FRENCH
5;2020-09-29T05:13:01;2020-09-29T07:05:44;FRENCH
6;2020-09-29T18:02:52;2020-09-29T23:08:52;SPANISH
7;2020-09-29T05:00:57;2020-09-29T08:34:09;ENGLISH
8;2020-09-29T05:49:36;2020-09-29T18:18:39;FRENCH
9;2020-09-29T12:24:20;2020-09-29T10:44:25;ENGLISH
10;2020-09-29T17:29:30;2020-09-29T00:06:41;FRENCH
